fips,state,population
01000,Alabama,4903185
02000,Alaska,731545
04000,Arizona,7278717
05000,Arkansas,3017804
06000,California,39512223
08000,Colorado,5758736
09000,Connecticut,3565287
10000,Delaware,973764
11000,District of Columbia,705749
12000,Florida,21477737
13000,Georgia,10617423
15000,Hawaii,1415872
16000,Idaho,1787065
17000,Illinois,12671821
18000,Indiana,6732219
19000,Iowa,3155070
20000,Kansas,2913314
21000,Kentucky,4467673
22000,Louisiana,4648794
23000,Maine,1344212
24000,Maryland,6045680
25000,Massachusetts,6892503
26000,Michigan,9986857
27000,Minnesota,5639632
28000,Mississippi,2976149
29000,Missouri,6137428
30000,Montana,1068778
31000,Nebraska,1934408
32000,Nevada,3080156
33000,New Hampshire,1359711
34000,New Jersey,8882190
35000,New Mexico,2096829
36000,New York,19453561
37000,North Carolina,10488084
38000,North Dakota,762062
39000,Ohio,11689100
40000,Oklahoma,3956971
41000,Oregon,4217737
42000,Pennsylvania,12801989
44000,Rhode Island,1059361
45000,South Carolina,5148714
46000,South Dakota,884659
47000,Tennessee,6829174
48000,Texas,28995881
49000,Utah,3205958
50000,Vermont,623989
51000,Virginia,8535519
53000,Washington,7614893
54000,West Virginia,1792147
55000,Wisconsin,5822434
56000,Wyoming,578759
